taille;"tri séléction";"tri insertion"
  0;    0.00;    0.00
  1;    0.00;    0.00
  2;    1.00;    1.00
  3;    3.00;    2.68
  4;    6.00;    4.98
  5;   10.00;    7.50
  6;   15.00;   11.06
  7;   21.00;   14.72
  8;   28.00;   19.60
  9;   36.00;   24.76
 10;   45.00;   30.72
 11;   55.00;   38.22
 12;   66.00;   41.64
 13;   78.00;   47.42
 14;   91.00;   53.46
 15;  105.00;   65.34
 16;  120.00;   72.02
 17;  136.00;   82.26
 18;  153.00;   90.08
 19;  171.00;   98.02
 20;  190.00;  109.88
 21;  210.00;  124.98
 22;  231.00;  134.64
 23;  253.00;  148.56
 24;  276.00;  158.94
 25;  300.00;  174.44
 26;  325.00;  181.32
 27;  351.00;  197.04
 28;  378.00;  217.62
 29;  406.00;  226.36
 30;  435.00;  246.38
 31;  465.00;  260.66
 32;  496.00;  276.28
 33;  528.00;  290.48
 34;  561.00;  301.52
 35;  595.00;  326.62
 36;  630.00;  341.90
 37;  666.00;  369.14
 38;  703.00;  385.70
 39;  741.00;  402.12
 40;  780.00;  430.48
 41;  820.00;  443.06
 42;  861.00;  458.36
 43;  903.00;  490.12
 44;  946.00;  507.32
 45;  990.00;  530.48
 46; 1035.00;  560.24
 47; 1081.00;  591.22
 48; 1128.00;  612.28
 49; 1176.00;  644.78
 50; 1225.00;  657.82
 51; 1275.00;  689.80
 52; 1326.00;  712.50
 53; 1378.00;  736.60
 54; 1431.00;  764.42
 55; 1485.00;  789.60
 56; 1540.00;  831.46
 57; 1596.00;  841.22
 58; 1653.00;  899.18
 59; 1711.00;  912.26
 60; 1770.00;  928.64
 61; 1830.00;  972.10
 62; 1891.00; 1005.24
 63; 1953.00; 1032.08
 64; 2016.00; 1048.64
 65; 2080.00; 1078.94
 66; 2145.00; 1105.98
 67; 2211.00; 1162.54
 68; 2278.00; 1209.12
 69; 2346.00; 1242.48
 70; 2415.00; 1290.46
 71; 2485.00; 1300.38
 72; 2556.00; 1352.80
 73; 2628.00; 1364.42
 74; 2701.00; 1434.82
 75; 2775.00; 1434.32
 76; 2850.00; 1497.30
 77; 2926.00; 1512.90
 78; 3003.00; 1559.64
 79; 3081.00; 1651.80
 80; 3160.00; 1652.62
 81; 3240.00; 1664.56
 82; 3321.00; 1727.98
 83; 3403.00; 1772.68
 84; 3486.00; 1817.98
 85; 3570.00; 1869.50
 86; 3655.00; 1881.82
 87; 3741.00; 1951.38
 88; 3828.00; 2024.84
 89; 3916.00; 2089.68
 90; 4005.00; 2090.20
 91; 4095.00; 2152.72
 92; 4186.00; 2158.00
 93; 4278.00; 2223.20
 94; 4371.00; 2259.46
 95; 4465.00; 2333.52
 96; 4560.00; 2401.78
 97; 4656.00; 2406.78
 98; 4753.00; 2513.60
 99; 4851.00; 2488.76
100; 4950.00; 2583.78
